sz002051,中工国际,23.85
sz002052,同洲电子,14.15
sz002053,云南盐化,0.00
sz002054,德美化工,13.60
sz002055,得润电子,0.00
sz002056,横店东磁,26.86
sz002057,中钢天源,16.78
sz002058,威 尔 泰,24.98
sz002059,云南旅游,11.82
sz002060,粤 水 电,9.37
sz002061,江山化工,0.00
sz002062,宏润建设,10.68
sz002063,远光软件,23.06
sz002064,华峰氨纶,7.07
sz002065,东华软件,23.96
sz002066,瑞泰科技,22.74
sz002067,景兴纸业,11.77
sz002068,黑猫股份,8.22
sz002069,獐 子 岛,0.00
sz002070,众和股份,0.00
sz002071,长城影视,19.80
sz002072,凯瑞德,23.49
sz002073,软控股份,17.86
sz002074,国轩高科,39.92
sz002075,沙钢股份,0.00
sz002076,雪 莱 特,17.87
sz002077,大港股份,0.00
sz002078,太阳纸业,5.95
sz002079,苏州固锝,10.59
sz002080,中材科技,22.83
sz002081,金 螳 螂,17.83
sz002082,栋梁新材,0.00
sz002083,孚日股份,7.32
sz002084,海鸥卫浴,13.26
sz002085,万丰奥威,32.66
sz002086,东方海洋,24.19
sz002087,新野纺织,8.36
sz002088,鲁阳节能,16.65
sz002089,新 海 宜,17.82
sz002090,金智科技,33.29
sz002091,江苏国泰,0.00
sz002092,中泰化学,0.00
sz002093,国脉科技,15.02
sz002094,青岛金王,0.00
sz002095,生 意 宝,85.42
sz002096,南岭民爆,23.71
sz002097,山河智能,11.58
sz002098,浔兴股份,16.50
sz002099,海翔药业,21.22
sz002100,天康生物,10.66
sz002101,广东鸿图,25.18
sz002102,冠福股份,0.00
sz002103,广博股份,0.00
sz002104,恒宝股份,20.52
sz002105,信隆实业,9.61
sz002106,莱宝高科,14.91
sz002107,沃华医药,29.16
sz002108,沧州明珠,19.88
sz002109,兴化股份,0.00
sz002110,三钢闽光,7.54
sz002111,威海广泰,36.53
sz002112,三变科技,0.00
sz002113,天润控股,31.00
sz002114,罗平锌电,19.85
sz002115,三维通信,14.32
sz002116,中国海诚,20.25
sz002117,东港股份,40.98
sz002118,紫鑫药业,20.98
sz002119,康强电子,21.46
sz002120,新海股份,22.86
sz002121,科陆电子,28.83
sz002122,天马股份,8.28
sz002123,荣信股份,23.28
sz002124,天邦股份,28.03
sz002125,湘潭电化,21.47
sz002126,银轮股份,0.00
sz002127,新民科技,0.00
sz002128,露天煤业,10.30
sz002129,中环股份,14.97
sz002130,沃尔核材,24.14
sz002131,利欧股份,0.00
sz002132,恒星科技,7.53
sz002133,广宇集团,9.06
sz002134,天津普林,14.53
sz002135,东南网架,11.95
sz002136,安 纳 达,15.46
sz002137,实 益 达,17.64
sz002138,顺络电子,15.70
sz002139,拓邦股份,24.10
sz002140,东华科技,20.60
sz002141,蓉胜超微,30.50
sz002142,宁波银行,14.85
sz002143,印纪传媒,33.95
sz002144,宏达高科,29.48
sz002145,中核钛白,14.15
sz002146,荣盛发展,10.75
sz002147,方圆支承,0.00
sz002148,北纬通信,20.87
sz002149,西部材料,21.80
sz002150,通润装备,0.00
sz002151,北斗星通,55.27
sz002152,广电运通,32.01
sz002153,石基信息,132.18
sz002154,报 喜 鸟,8.23
sz002155,湖南黄金,8.82
sz002156,通富微电,19.49
sz002157,正邦科技,22.54
sz002158,汉钟精机,21.08
sz002159,三特索道,31.99
sz002160,常铝股份,12.02
sz002161,远 望 谷,24.55
sz002162,悦心健康,15.39
sz002163,中航三鑫,10.31
sz002164,宁波东力,9.25
sz002165,红 宝 丽,8.16
sz002166,莱茵生物,15.75
sz002167,东方锆业,10.38
sz002168,深圳惠程,11.41
sz002169,智光电气,24.52
sz002170,芭田股份,13.58
sz002171,楚江新材,22.82
sz002172,澳洋科技,16.25
sz002173,千足珍珠,23.82
sz002174,游族网络,0.00
sz002175,东方网络,62.16
sz002176,江特电机,16.89
sz002177,御银股份,11.24
sz002178,延华智能,15.51
sz002179,中航光电,40.86
sz002180,艾派克,47.60
sz002181,粤 传 媒,14.05
sz002182,云海金属,13.70
sz002183,怡 亚 通,49.77
sz002184,海得控制,38.82
sz002185,华天科技,19.48
sz002186,全 聚 德,21.70
sz002187,广百股份,16.28
sz002188,新 嘉 联,36.79
sz002189,利达光电,38.60
sz002190,成飞集成,41.77
sz002191,劲嘉股份,0.00
sz002192,*ST融捷,39.30
sz002193,山东如意,17.86
sz002194,武汉凡谷,15.57
sz002195,二三四五,37.78
sz002196,方正电机,32.50
sz002197,证通电子,27.39
sz002198,嘉应制药,10.33
sz002199,东晶电子,14.92
sz002200,云投生态,21.41
sz002201,九鼎新材,0.00
sz002202,金风科技,16.25
sz002203,海亮股份,0.00
sz002204,大连重工,10.24
sz002205,国统股份,31.16
sz002206,海 利 得,15.48
sz002207,准油股份,19.26
sz002208,合肥城建,20.66
sz002209,达 意 隆,0.00
sz002210,飞马国际,0.00
sz002211,宏达新材,11.50
sz002212,南洋股份,13.63
sz002213,特 尔 佳,17.12
sz002214,大立科技,14.80
sz002215,诺 普 信,17.57
sz002216,三全食品,11.51
sz002217,合力泰,18.50
sz002218,拓日新能,10.90
sz002219,恒康医疗,0.00
sz002220,天宝股份,11.36
sz002221,东华能源,30.24
sz002222,福晶科技,23.78
sz002223,鱼跃医疗,42.79
sz002224,三 力 士,15.39
sz002225,濮耐股份,8.00
sz002226,江南化工,9.53
sz002227,奥 特 迅,45.09
sz002228,合兴包装,0.00
sz002229,鸿博股份,26.42
sz002230,科大讯飞,38.19
sz002231,奥维通信,17.70
sz002232,启明信息,17.93
sz002233,塔牌集团,11.38
sz002234,民和股份,15.93
sz002235,安妮股份,0.00
sz002236,大华股份,36.36
sz002237,恒邦股份,10.27
sz002238,天威视讯,25.86
sz002239,奥特佳,0.00
sz002240,威华股份,11.84
sz002241,歌尔声学,33.91
sz002242,九阳股份,24.46
sz002243,通产丽星,14.16
sz002244,滨江集团,8.30
sz002245,澳洋顺昌,7.98
sz002246,北化股份,0.00
sz002247,帝龙新材,0.00
sz002248,华东数控,0.00
sz002249,大洋电机,12.95
sz002250,联化科技,19.68
sz002251,步 步 高,18.24
sz002252,上海莱士,45.50
sz002253,川大智胜,55.40
sz002254,泰和新材,16.80
sz002255,海陆重工,11.06
sz002256,彩虹精化,27.60
sz002258,利尔化学,25.80
sz002259,升达林业,10.35
sz002260,德奥通航,43.15
sz002261,拓维信息,40.16
sz002262,恩华药业,29.10
sz002263,大 东 南,10.08
sz002264,新 华 都,8.05
sz002265,西仪股份,0.00
sz002266,浙富控股,8.91
sz002267,陕天然气,13.20
sz002268,卫 士 通,60.85
